state_code,district_code,india/states,division,group,class,nic_name,main_workers_total_persons,main_workers_total_males,main_workers_total_females,main_workers_rural_persons,main_workers_rural_males,main_workers_rural_females,main_workers_urban_persons,main_workers_urban_males,main_workers_urban_females,marginal_workers_total_persons,marginal_workers_total_males,marginal_workers_total_females,marginal_workers_rural_persons,marginal_workers_rural_males,marginal_workers_rural_females,marginal_workers_urban_persons,marginal_workers_urban_males,marginal_workers_urban_females
12,000,STATE - ARUNACHAL PRADESH,28,282,2821,Manufacture of agricultural and forestry machinery,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,28,282,2822,Manufacture of metal-forming machinery and machine tools,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,28,282,2825,"Manufacture of machinery for food, beverage and tobacco processing",2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,28,282,2826,"Manufacture of machinery for textile, apparel and leather production",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,28,282,2829,Manufacture of other special-purpose machinery,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,30,301,3011,Building of ships and floating structures,4,4,0,2,2,0,2,2,0,1,1,0,0,0,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,30,302,3020,Manufacture of railway locomotives and rolling stock,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,30,309,3099,Manufacture of other transport equipment n.e.c.,53,53,0,34,34,0,19,19,0,18,18,0,7,7,0,11,11,0
12,000,STATE - ARUNACHAL PRADESH,31,310,3100,Manufacture of furniture,1962,1925,37,917,901,16,1045,1024,21,389,367,22,183,172,11,206,195,11
12,000,STATE - ARUNACHAL PRADESH,32,321,3211,Manufacture of jewellery and related articles,195,185,10,34,34,0,161,151,10,23,16,7,2,0,2,21,16,5
12,000,STATE - ARUNACHAL PRADESH,32,321,3212,Manufacture of imitation jewellery and related articles,3,3,0,2,2,0,1,1,0,2,0,2,2,0,2,0,0,0
12,000,STATE - ARUNACHAL PRADESH,32,322,3220,Manufacture of musical instruments,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,32,324,3240,Manufacture of games and toys,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,32,329,3290,Other manufacturing n.e.c.,67,49,18,32,21,11,35,28,7,19,17,2,10,9,1,9,8,1
12,000,STATE - ARUNACHAL PRADESH,33,331,3311,Repair of fabricated metal products,41,38,3,31,28,3,10,10,0,8,4,4,5,3,2,3,1,2
12,000,STATE - ARUNACHAL PRADESH,33,331,3312,Repair of machinery,15,12,3,4,2,2,11,10,1,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,33,331,3313,Repair of electronic and optical equipment,9,9,0,0,0,0,9,9,0,7,6,1,0,0,0,7,6,1
12,000,STATE - ARUNACHAL PRADESH,33,331,3314,Repair of electrical equipment,139,123,16,115,101,14,24,22,2,10,6,4,8,4,4,2,2,0
12,000,STATE - ARUNACHAL PRADESH,33,331,3315,"Repair of transport equipment, except motor vehicles",23,17,6,19,13,6,4,4,0,3,3,0,0,0,0,3,3,0
12,000,STATE - ARUNACHAL PRADESH,33,331,3319,Repair of other equipment,24,24,0,3,3,0,21,21,0,2,2,0,0,0,0,2,2,0
12,000,STATE - ARUNACHAL PRADESH,33,332,3320,Installation of industrial machinery and equipment,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,35,351,3510,"Electric power generation, transmission and distribution",10441,8430,2011,6504,5542,962,3937,2888,1049,508,327,181,368,267,101,140,60,80
12,000,STATE - ARUNACHAL PRADESH,35,352,3520,Manufacture of gas; distribution of gaseous fuels through mains,29,26,3,10,7,3,19,19,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,35,353,3530,Steam and air conditioning supply,24,14,10,19,11,8,5,3,2,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,36,360,3600,"Water collection, treatment and supply",3618,2872,746,1792,1506,286,1826,1366,460,141,90,51,91,62,29,50,28,22
12,000,STATE - ARUNACHAL PRADESH,37,370,3700,Sewerage,12,10,2,5,4,1,7,6,1,16,12,4,9,5,4,7,7,0
12,000,STATE - ARUNACHAL PRADESH,38,381,3811,Collection of non-hazardous waste,55,47,8,6,6,0,49,41,8,31,20,11,23,14,9,8,6,2
12,000,STATE - ARUNACHAL PRADESH,38,381,3812,Collection of hazardous waste,20,18,2,4,2,2,16,16,0,2,2,0,0,0,0,2,2,0
12,000,STATE - ARUNACHAL PRADESH,38,382,3822,Treatment and disposal of hazardous waste,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,39,390,3900,Remediation activities and other waste management services,5,4,1,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,41,410,4100,Construction of buildings,9201,7996,1205,5135,4365,770,4066,3631,435,1725,1396,329,994,794,200,731,602,129
12,000,STATE - ARUNACHAL PRADESH,42,421,4210,Construction roads and railways,18608,13619,4989,13226,9557,3669,5382,4062,1320,1914,1215,699,1606,1000,606,308,215,93
12,000,STATE - ARUNACHAL PRADESH,42,422,4220,Construction of utility projects,233,194,39,112,98,14,121,96,25,18,16,2,5,5,0,13,11,2
12,000,STATE - ARUNACHAL PRADESH,42,429,4290,Construction of other civil engineering projects,1423,1208,215,899,760,139,524,448,76,330,223,107,200,126,74,130,97,33
12,000,STATE - ARUNACHAL PRADESH,43,431,4312,Site preparation,40,33,7,23,17,6,17,16,1,16,16,0,15,15,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,43,432,4321,Electrical installation,139,139,0,74,74,0,65,65,0,18,13,5,5,4,1,13,9,4
12,000,STATE - ARUNACHAL PRADESH,43,432,4322,"Plumbing, heat and air-conditioning installation",140,136,4,68,64,4,72,72,0,7,7,0,2,2,0,5,5,0
12,000,STATE - ARUNACHAL PRADESH,43,432,4329,Other construction installation,1867,1411,456,1035,761,274,832,650,182,709,503,206,426,292,134,283,211,72
12,000,STATE - ARUNACHAL PRADESH,43,433,4330,Building completion and finishing,529,491,38,197,172,25,332,319,13,105,95,10,44,41,3,61,54,7
12,000,STATE - ARUNACHAL PRADESH,43,439,4390,Other specialized construction activities,58,50,8,32,26,6,26,24,2,23,22,1,20,19,1,3,3,0
12,000,STATE - ARUNACHAL PRADESH,45,451,4510,Sale of motor vehicles,100,85,15,9,8,1,91,77,14,16,16,0,6,6,0,10,10,0
12,000,STATE - ARUNACHAL PRADESH,45,452,4520,Maintenance and repair of motor vehicles,1075,1060,15,293,291,2,782,769,13,130,110,20,25,20,5,105,90,15
